brand,attributes
ilia,"wrinkles, glowy, antioxidant, non-comedogenic, natural finish, ceramide, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, uneven texture, fragrance-free, buildable, nourishing, weightless, long-wearing, uneven tone, vegan, spf, smudge-proof, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, beeswax, algae, non-sticky, medium coverage, niacinamide, shine-free, plumping, noncomedogenic, oil-free, radiant, shimmer, peptide, shea butter, green tea, sensitive skin, gluten-free, sheer, smooth, vitamin e"
rare beauty by selena gomez,"glowy, antioxidant, castor oil, natural finish, fine lines, dewy, cruelty-free, buildable, weightless, nourishing, vegan, spf, soothing, full coverage, protection, blurring, satin, hydrating, clean, matte, hyaluronic acid, waterproof, non-sticky, transfer-proof, niacinamide, second-skin, medium coverage, plumping, noncomedogenic, radiant, non-greasy, green tea, sheer, smooth, vitamin e"
summer fridays,"murumuru, hyaluronic acid, vegan, gluten-free, niacinamide, vitamin e, fine lines, soothing, cruelty-free, sheer, moisturizing, fragrance-free, clean, smooth, nourishing"
benefit cosmetics,"glowy, conditioning, antioxidant, non-comedogenic, castor oil, natural finish, ceramide, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, aha, long-wearing, vegan, full coverage, smudge-proof, blurring, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, transfer-proof, niacinamide, non-drying, longwearing, dermatologist tested, noncomedogenic, radiant, pore-minimizing, shimmer, kiss-proof, shea butter, gluten-free, sheer, smooth, vitamin e"
one/size by patrick starrr,"glowy, conditioning, wrinkles, antioxidant, non-comedogenic, squalane, fine lines, cruelty-free, moisturizing, buildable, nourishing, weightless, aha, uneven tone, vegan, oily skin, full coverage, smudge-proof, protection, collagen, dry skin, blurring, hydrating, matte, hyaluronic acid, waterproof, non-sticky, transfer-proof, niacinamide, dermatologist tested, noncomedogenic, radiant, shimmer, peptide, green tea, sensitive skin, gluten-free, sheer, witch hazel, smooth"
sephora collection,"wrinkles, conditioning, anti-pollution, non-comedogenic, natural finish, vitamin c, fine lines, cruelty-free, moisturizing, buildable, nourishing, weightless, long-wearing, vegan, soothing, full coverage, smudge-proof, dry skin, blurring, satin, hydrating, clean, matte, hyaluronic acid, algae, waterproof, transfer-proof, non-sticky, niacinamide, second-skin, skin-enhancing, non-drying, longwearing, plumping, noncomedogenic, radiant, shimmer, sensitive skin, light coverage, gluten-free, sheer, witch hazel, smooth, vitamin e"
glossier,"glowy, conditioning, wrinkles, natural finish, squalane, fine lines, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, long-wearing, vegan, spf, lanolin, sunscreen, protection, collagen, blurring, satin, hydrating, matte, hyaluronic acid, beeswax, waterproof, medium coverage, radiant, shimmer, sensitive skin, gluten-free, sheer, smooth, vitamin e"
patrick ta,"glowy, conditioning, natural finish, ceramide, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, buildable, weightless, nourishing, long-wearing, vegan, soothing, lanolin, full coverage, smudge-proof, satin, hydrating, matte, hyaluronic acid, plumping, radiant, shimmer, shea butter, gluten-free, sheer, witch hazel, smooth, vitamin e"
milk makeup,"glowy, wrinkles, conditioning, antioxidant, non-comedogenic, natural finish, vitamin c, squalane, fine lines, dewy, cruelty-free, moisturizing, uneven texture, buildable, weightless, nourishing, vegan, spf, soothing, smudge-proof, sunscreen, protection, collagen, blurring, hydrating, clean, matte, paraben-free, hyaluronic acid, beeswax, waterproof, non-sticky, transfer-proof, niacinamide, medium coverage, non-drying, noncomedogenic, oil-free, radiant, shimmer, non-greasy, peptide, gluten-free, sheer, smooth"
tower 28 beauty,"antioxidant, non-comedogenic, castor oil, natural finish, squalane, dewy, cruelty-free, moisturizing, fragrance-free, buildable, weightless, long-wearing, vegan, spf, soothing, collagen, hydrating, clean, matte, hyaluronic acid, non-sticky, transfer-proof, non-drying, radiant, shimmer, shea butter, green tea, sensitive skin, gluten-free, allergy tested, sheer, smooth"
saie,"glowy, non-comedogenic, natural finish, vitamin c, squalane, fragrance free, fine lines, dewy, cruelty-free, moisturizing, buildable, nourishing, weightless, vegan, spf, sunscreen, protection, collagen, blurring, hydrating, clean, matte, hyaluronic acid, beeswax, non-sticky, medium coverage, niacinamide, second-skin, non-drying, dermatologist tested, radiant, shimmer, shea butter, sensitive skin, light coverage, gluten-free, sheer, smooth, vitamin e"
huda beauty,"conditioning, antioxidant, non-comedogenic, natural finish, vitamin c, fine lines, dewy, cruelty-free, moisturizing, uneven texture, fragrance-free, buildable, weightless, nourishing, long-wearing, vegan, spf, oily skin, full coverage, collagen, blurring, hydrating, matte, hyaluronic acid, waterproof, non-sticky, transfer-proof, niacinamide, medium coverage, non-drying, noncomedogenic, radiant, shimmer, gluten-free, sheer, smooth, vitamin e"
